SFR Z Mstar Xmol Mgas Mdm
2.203815e-07 0.000000e+00 0.000000e+00 1.210175e-04 1.819389e+05 2.328593e+06
0.000000e+00 0.000000e+00 0.000000e+00 2.326204e-05 9.694090e+04 1.722977e+06
0.000000e+00 0.000000e+00 0.000000e+00 1.971351e-05 7.055637e+04 1.504956e+06
0.000000e+00 0.000000e+00 0.000000e+00 1.720695e-05 5.717353e+04 1.305102e+06
0.000000e+00 0.000000e+00 0.000000e+00 5.168754e-05 6.992111e+04 1.170766e+06
0.000000e+00 0.000000e+00 0.000000e+00 3.644979e-05 5.577596e+04 1.007800e+06
0.000000e+00 0.000000e+00 0.000000e+00 3.032659e-05 4.980450e+04 1.039732e+06
0.000000e+00 0.000000e+00 0.000000e+00 1.996512e-05 3.532054e+04 9.450362e+05
0.000000e+00 0.000000e+00 0.000000e+00 1.942328e-05 2.829031e+04 7.118740e+05
0.000000e+00 0.000000e+00 0.000000e+00 2.426705e-05 3.117016e+04 6.557169e+05
0.000000e+00 0.000000e+00 0.000000e+00 1.715059e-05 2.253061e+04 6.848966e+05
0.000000e+00 0.000000e+00 0.000000e+00 1.963721e-05 3.214423e+04 5.979081e+05
0.000000e+00 0.000000e+00 0.000000e+00 1.859045e-05 2.596102e+04 6.287395e+05
0.000000e+00 0.000000e+00 0.000000e+00 2.294491e-05 2.854441e+04 5.918519e+05
0.000000e+00 0.000000e+00 0.000000e+00 1.397358e-05 2.015896e+04 6.262619e+05
0.000000e+00 0.000000e+00 0.000000e+00 1.511388e-05 1.926960e+04 6.001103e+05
0.000000e+00 0.000000e+00 0.000000e+00 1.220507e-05 1.732146e+04 5.827677e+05
0.000000e+00 0.000000e+00 0.000000e+00 1.909590e-05 1.846493e+04 5.092680e+05
0.000000e+00 0.000000e+00 0.000000e+00 2.654218e-05 2.028601e+04 4.831164e+05
0.000000e+00 0.000000e+00 0.000000e+00 1.713098e-05 2.100598e+04 4.737568e+05
0.000000e+00 0.000000e+00 0.000000e+00 2.273239e-05 1.626269e+04 4.784366e+05
0.000000e+00 0.000000e+00 0.000000e+00 1.820363e-05 1.622034e+04 4.580659e+05
0.000000e+00 0.000000e+00 0.000000e+00 1.723682e-05 1.304403e+04 4.690771e+05
0.000000e+00 0.000000e+00 0.000000e+00 2.265368e-05 1.774497e+04 4.360435e+05
0.000000e+00 0.000000e+00 0.000000e+00 1.770756e-05 1.516157e+04 4.112683e+05
0.000000e+00 0.000000e+00 0.000000e+00 2.059256e-05 1.312874e+04 4.068638e+05
0.000000e+00 0.000000e+00 0.000000e+00 1.676347e-05 1.389105e+04 3.663977e+05
1.991216e-06 0.000000e+00 0.000000e+00 4.286074e-04 2.400019e+05 2.641587e+06
0.000000e+00 0.000000e+00 0.000000e+00 3.072542e-05 1.506417e+05 2.250689e+06
